Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
1,S,S,Draw,0,0
2,P,P,Draw,0,0
3,R,R,Draw,0,0
4,R,S,Player 1,1,0
5,S,P,Player 1,2,0
6,P,P,Draw,2,0
7,R,R,Draw,2,0
8,P,S,Player 2,2,1
9,S,P,Player 1,3,1
10,S,S,Draw,3,1
11,P,R,Player 1,4,1
12,S,R,Player 2,4,2
13,S,S,Draw,4,2
14,S,R,Player 2,4,3
15,R,R,Draw,4,3
16,R,R,Draw,4,3
17,S,P,Player 1,5,3
18,P,P,Draw,5,3
19,R,R,Draw,5,3
20,R,S,Player 1,6,3
21,S,P,Player 1,7,3
22,S,P,Player 1,8,3
23,P,R,Player 1,9,3
24,R,R,Draw,9,3
25,R,S,Player 1,10,3
26,P,P,Draw,10,3
27,S,P,Player 1,11,3
28,P,S,Player 2,11,4
29,S,R,Player 2,11,5
30,P,S,Player 2,11,6
31,S,R,Player 2,11,7
32,P,S,Player 2,11,8
33,P,R,Player 1,12,8
34,P,S,Player 2,12,9
35,P,S,Player 2,12,10
36,S,S,Draw,12,10
37,R,S,Player 1,13,10
38,R,R,Draw,13,10
39,P,P,Draw,13,10
40,S,P,Player 1,14,10
41,P,S,Player 2,14,11
42,P,R,Player 1,15,11
43,P,S,Player 2,15,12
44,P,S,Player 2,15,13
45,R,S,Player 1,16,13
46,P,S,Player 2,16,14
47,R,P,Player 2,16,15
48,S,S,Draw,16,15
49,P,P,Draw,16,15
50,P,R,Player 1,17,15
51,R,S,Player 1,18,15
52,S,S,Draw,18,15
53,R,P,Player 2,18,16
54,R,R,Draw,18,16
55,R,P,Player 2,18,17
56,R,P,Player 2,18,18
57,P,P,Draw,18,18
58,S,P,Player 1,19,18
59,S,S,Draw,19,18
60,P,R,Player 1,20,18
61,R,R,Draw,20,18
62,P,S,Player 2,20,19
63,P,P,Draw,20,19
64,S,S,Draw,20,19
65,P,S,Player 2,20,20
66,R,R,Draw,20,20
67,S,S,Draw,20,20
68,P,P,Draw,20,20
69,S,R,Player 2,20,21
70,R,S,Player 1,21,21
71,S,R,Player 2,21,22
72,R,P,Player 2,21,23
73,S,R,Player 2,21,24
74,R,P,Player 2,21,25
75,S,R,Player 2,21,26
76,S,P,Player 1,22,26
77,P,R,Player 1,23,26
78,S,R,Player 2,23,27
79,R,S,Player 1,24,27
80,S,R,Player 2,24,28
81,R,P,Player 2,24,29
82,P,R,Player 1,25,29
83,S,P,Player 1,26,29
84,P,S,Player 2,26,30
85,R,R,Draw,26,30
86,P,S,Player 2,26,31
87,P,P,Draw,26,31
88,S,S,Draw,26,31
89,P,S,Player 2,26,32
90,P,R,Player 1,27,32
91,S,S,Draw,27,32
92,P,S,Player 2,27,33
93,R,R,Draw,27,33
94,R,S,Player 1,28,33
95,R,P,Player 2,28,34
96,S,P,Player 1,29,34
97,P,P,Draw,29,34
98,S,R,Player 2,29,35
99,R,S,Player 1,30,35
100,S,R,Player 2,30,36
101,S,P,Player 1,31,36
102,P,R,Player 1,32,36
103,S,R,Player 2,32,37
104,R,S,Player 1,33,37
105,P,R,Player 1,34,37
106,S,P,Player 1,35,37
107,P,S,Player 2,35,38
108,P,R,Player 1,36,38
109,R,S,Player 1,37,38
110,S,S,Draw,37,38
111,R,P,Player 2,37,39
112,P,R,Player 1,38,39
113,R,P,Player 2,38,40
114,P,S,Player 2,38,41
115,P,P,Draw,38,41
116,P,S,Player 2,38,42
117,R,S,Player 1,39,42
118,P,S,Player 2,39,43
119,R,P,Player 2,39,44
120,P,S,Player 2,39,45
121,R,P,Player 2,39,46
122,P,S,Player 2,39,47
123,R,P,Player 2,39,48
124,P,S,Player 2,39,49
125,S,P,Player 1,40,49
126,R,S,Player 1,41,49
127,S,R,Player 2,41,50
128,R,P,Player 2,41,51
129,P,R,Player 1,42,51
130,S,P,Player 1,43,51
131,P,S,Player 2,43,52
132,P,R,Player 1,44,52
133,R,S,Player 1,45,52
134,R,S,Player 1,46,52
135,S,P,Player 1,47,52
136,P,P,Draw,47,52
137,P,R,Player 1,48,52
138,R,S,Player 1,49,52
139,S,S,Draw,49,52
140,S,P,Player 1,50,52
141,P,R,Player 1,51,52
142,R,R,Draw,51,52
143,R,S,Player 1,52,52
144,P,P,Draw,52,52
145,S,P,Player 1,53,52
146,P,S,Player 2,53,53
147,P,R,Player 1,54,53
148,R,S,Player 1,55,53
149,R,S,Player 1,56,53
150,S,P,Player 1,57,53
151,P,P,Draw,57,53
152,P,R,Player 1,58,53
153,R,S,Player 1,59,53
154,S,S,Draw,59,53
155,S,P,Player 1,60,53
156,P,R,Player 1,61,53
157,R,R,Draw,61,53
158,R,S,Player 1,62,53
159,P,P,Draw,62,53
160,S,P,Player 1,63,53
161,P,S,Player 2,63,54
162,P,R,Player 1,64,54
163,R,S,Player 1,65,54
164,R,S,Player 1,66,54
165,S,P,Player 1,67,54
166,P,P,Draw,67,54
167,P,R,Player 1,68,54
168,R,S,Player 1,69,54
169,S,S,Draw,69,54
170,S,P,Player 1,70,54
171,P,R,Player 1,71,54
172,R,R,Draw,71,54
173,R,S,Player 1,72,54
174,S,P,Player 1,73,54
175,S,P,Player 1,74,54
176,P,R,Player 1,75,54
177,R,R,Draw,75,54
178,R,S,Player 1,76,54
179,S,P,Player 1,77,54
180,S,P,Player 1,78,54
181,P,R,Player 1,79,54
182,R,R,Draw,79,54
183,R,S,Player 1,80,54
184,S,P,Player 1,81,54
185,S,P,Player 1,82,54
186,P,R,Player 1,83,54
187,R,R,Draw,83,54
188,R,S,Player 1,84,54
189,S,P,Player 1,85,54
190,S,P,Player 1,86,54
191,P,R,Player 1,87,54
192,R,R,Draw,87,54
193,R,S,Player 1,88,54
194,S,P,Player 1,89,54
195,S,P,Player 1,90,54
196,P,R,Player 1,91,54
197,R,R,Draw,91,54
198,R,S,Player 1,92,54
199,S,P,Player 1,93,54
200,S,P,Player 1,94,54
201,P,R,Player 1,95,54
202,P,R,Player 1,96,54
203,R,S,Player 1,97,54
204,S,S,Draw,97,54
205,S,P,Player 1,98,54
206,P,R,Player 1,99,54
207,P,R,Player 1,100,54
208,R,S,Player 1,101,54
209,S,S,Draw,101,54
210,S,P,Player 1,102,54
211,P,R,Player 1,103,54
212,P,R,Player 1,104,54
213,R,S,Player 1,105,54
214,S,S,Draw,105,54
215,S,P,Player 1,106,54
216,P,R,Player 1,107,54
217,P,R,Player 1,108,54
218,R,S,Player 1,109,54
219,S,S,Draw,109,54
220,S,P,Player 1,110,54
221,P,R,Player 1,111,54
222,P,R,Player 1,112,54
223,R,S,Player 1,113,54
224,S,S,Draw,113,54
225,S,P,Player 1,114,54
226,P,R,Player 1,115,54
227,P,R,Player 1,116,54
228,R,S,Player 1,117,54
229,S,S,Draw,117,54
230,S,P,Player 1,118,54
231,P,R,Player 1,119,54
232,P,R,Player 1,120,54
233,R,S,Player 1,121,54
234,S,S,Draw,121,54
235,S,P,Player 1,122,54
236,P,R,Player 1,123,54
237,P,R,Player 1,124,54
238,R,S,Player 1,125,54
239,S,S,Draw,125,54
240,S,P,Player 1,126,54
241,P,R,Player 1,127,54
242,P,R,Player 1,128,54
243,R,S,Player 1,129,54
244,S,S,Draw,129,54
245,S,P,Player 1,130,54
246,P,R,Player 1,131,54
247,P,R,Player 1,132,54
248,R,S,Player 1,133,54
249,S,S,Draw,133,54
250,S,P,Player 1,134,54
251,P,R,Player 1,135,54
252,P,R,Player 1,136,54
253,R,S,Player 1,137,54
254,S,S,Draw,137,54
255,S,P,Player 1,138,54
256,P,R,Player 1,139,54
257,P,R,Player 1,140,54
258,R,S,Player 1,141,54
259,R,S,Player 1,142,54
260,S,P,Player 1,143,54
261,P,P,Draw,143,54
262,P,R,Player 1,144,54
263,P,S,Player 2,144,55
264,R,S,Player 1,145,55
265,S,S,Draw,145,55
266,S,P,Player 1,146,55
267,P,R,Player 1,147,55
268,P,R,Player 1,148,55
269,R,S,Player 1,149,55
270,R,S,Player 1,150,55
271,S,P,Player 1,151,55
272,P,P,Draw,151,55
273,P,R,Player 1,152,55
274,P,S,Player 2,152,56
275,R,S,Player 1,153,56
276,S,S,Draw,153,56
277,S,P,Player 1,154,56
278,P,R,Player 1,155,56
279,P,R,Player 1,156,56
280,R,S,Player 1,157,56
281,R,S,Player 1,158,56
282,S,P,Player 1,159,56
283,P,P,Draw,159,56
284,P,R,Player 1,160,56
285,R,S,Player 1,161,56
286,R,S,Player 1,162,56
287,S,P,Player 1,163,56
288,P,P,Draw,163,56
289,P,R,Player 1,164,56
290,R,S,Player 1,165,56
291,R,S,Player 1,166,56
292,S,P,Player 1,167,56
293,P,P,Draw,167,56
294,P,R,Player 1,168,56
295,R,S,Player 1,169,56
296,R,S,Player 1,170,56
297,S,P,Player 1,171,56
298,P,P,Draw,171,56
299,P,R,Player 1,172,56
300,R,S,Player 1,173,56
301,R,S,Player 1,174,56
302,S,P,Player 1,175,56
303,P,P,Draw,175,56
304,P,R,Player 1,176,56
305,R,S,Player 1,177,56
306,R,S,Player 1,178,56
307,S,P,Player 1,179,56
308,P,P,Draw,179,56
309,P,R,Player 1,180,56
310,R,S,Player 1,181,56
311,R,S,Player 1,182,56
312,S,P,Player 1,183,56
313,P,P,Draw,183,56
314,P,R,Player 1,184,56
315,R,S,Player 1,185,56
316,R,S,Player 1,186,56
317,S,P,Player 1,187,56
318,P,P,Draw,187,56
319,P,R,Player 1,188,56
320,R,S,Player 1,189,56
321,R,S,Player 1,190,56
322,S,P,Player 1,191,56
323,P,P,Draw,191,56
324,P,R,Player 1,192,56
325,R,S,Player 1,193,56
326,R,S,Player 1,194,56
327,S,P,Player 1,195,56
328,P,P,Draw,195,56
329,P,R,Player 1,196,56
330,R,S,Player 1,197,56
331,R,S,Player 1,198,56
332,S,P,Player 1,199,56
333,P,P,Draw,199,56
334,P,R,Player 1,200,56
335,R,S,Player 1,201,56
336,R,S,Player 1,202,56
337,S,P,Player 1,203,56
338,P,P,Draw,203,56
339,P,R,Player 1,204,56
340,R,S,Player 1,205,56
341,R,S,Player 1,206,56
342,S,P,Player 1,207,56
343,P,P,Draw,207,56
344,P,R,Player 1,208,56
345,R,S,Player 1,209,56
346,R,S,Player 1,210,56
347,S,P,Player 1,211,56
348,P,P,Draw,211,56
349,P,R,Player 1,212,56
350,R,S,Player 1,213,56
351,R,S,Player 1,214,56
352,S,P,Player 1,215,56
353,S,P,Player 1,216,56
354,P,R,Player 1,217,56
355,R,R,Draw,217,56
356,R,S,Player 1,218,56
357,R,P,Player 2,218,57
