Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
1,S,R,Player 2,0,1
2,P,R,Player 1,1,1
3,R,S,Player 1,2,1
4,R,P,Player 2,2,2
5,S,P,Player 1,3,2
6,P,R,Player 1,4,2
7,R,S,Player 1,5,2
8,R,P,Player 2,5,3
9,S,P,Player 1,6,3
10,P,R,Player 1,7,3
11,R,S,Player 1,8,3
12,R,P,Player 2,8,4
13,S,P,Player 1,9,4
14,P,R,Player 1,10,4
15,R,S,Player 1,11,4
16,R,P,Player 2,11,5
17,S,P,Player 1,12,5
18,P,R,Player 1,13,5
19,R,S,Player 1,14,5
20,R,P,Player 2,14,6
21,S,P,Player 1,15,6
22,P,R,Player 1,16,6
23,R,S,Player 1,17,6
24,R,P,Player 2,17,7
25,S,P,Player 1,18,7
26,P,R,Player 1,19,7
27,R,S,Player 1,20,7
28,R,P,Player 2,20,8
29,S,P,Player 1,21,8
30,P,R,Player 1,22,8
31,R,S,Player 1,23,8
32,R,P,Player 2,23,9
33,S,P,Player 1,24,9
34,P,R,Player 1,25,9
35,R,S,Player 1,26,9
36,R,P,Player 2,26,10
37,S,P,Player 1,27,10
38,P,R,Player 1,28,10
39,R,S,Player 1,29,10
40,R,P,Player 2,29,11
41,S,P,Player 1,30,11
42,P,R,Player 1,31,11
43,R,S,Player 1,32,11
44,R,P,Player 2,32,12
45,S,P,Player 1,33,12
46,P,R,Player 1,34,12
47,R,S,Player 1,35,12
48,R,P,Player 2,35,13
49,S,P,Player 1,36,13
50,P,R,Player 1,37,13
51,R,S,Player 1,38,13
52,R,P,Player 2,38,14
53,S,P,Player 1,39,14
54,P,R,Player 1,40,14
55,R,S,Player 1,41,14
56,R,P,Player 2,41,15
57,S,P,Player 1,42,15
58,P,R,Player 1,43,15
59,R,S,Player 1,44,15
60,R,P,Player 2,44,16
61,S,P,Player 1,45,16
62,P,R,Player 1,46,16
63,R,S,Player 1,47,16
64,R,P,Player 2,47,17
65,S,P,Player 1,48,17
66,P,R,Player 1,49,17
67,R,S,Player 1,50,17
68,R,P,Player 2,50,18
69,S,P,Player 1,51,18
70,P,R,Player 1,52,18
71,R,S,Player 1,53,18
72,R,P,Player 2,53,19
73,S,P,Player 1,54,19
74,P,R,Player 1,55,19
75,R,S,Player 1,56,19
76,R,P,Player 2,56,20
77,S,P,Player 1,57,20
78,P,R,Player 1,58,20
79,R,S,Player 1,59,20
80,R,P,Player 2,59,21
81,S,P,Player 1,60,21
82,P,R,Player 1,61,21
83,R,S,Player 1,62,21
84,R,P,Player 2,62,22
85,S,P,Player 1,63,22
86,P,R,Player 1,64,22
87,R,S,Player 1,65,22
88,R,P,Player 2,65,23
89,S,P,Player 1,66,23
90,P,R,Player 1,67,23
91,R,S,Player 1,68,23
92,R,P,Player 2,68,24
93,S,P,Player 1,69,24
94,P,R,Player 1,70,24
95,R,S,Player 1,71,24
96,R,P,Player 2,71,25
97,S,P,Player 1,72,25
98,P,R,Player 1,73,25
99,R,S,Player 1,74,25
100,R,P,Player 2,74,26
101,S,P,Player 1,75,26
102,P,R,Player 1,76,26
103,R,S,Player 1,77,26
104,R,P,Player 2,77,27
105,S,P,Player 1,78,27
106,P,R,Player 1,79,27
107,R,S,Player 1,80,27
108,R,P,Player 2,80,28
109,S,P,Player 1,81,28
110,P,R,Player 1,82,28
111,R,S,Player 1,83,28
112,R,P,Player 2,83,29
113,S,P,Player 1,84,29
114,P,R,Player 1,85,29
115,R,S,Player 1,86,29
116,R,P,Player 2,86,30
117,S,P,Player 1,87,30
118,P,R,Player 1,88,30
119,R,S,Player 1,89,30
120,R,P,Player 2,89,31
121,S,P,Player 1,90,31
122,P,R,Player 1,91,31
123,R,S,Player 1,92,31
124,R,P,Player 2,92,32
125,S,P,Player 1,93,32
126,P,R,Player 1,94,32
127,R,S,Player 1,95,32
128,R,P,Player 2,95,33
129,S,P,Player 1,96,33
130,P,R,Player 1,97,33
131,R,S,Player 1,98,33
132,R,P,Player 2,98,34
133,S,P,Player 1,99,34
134,P,R,Player 1,100,34
135,R,S,Player 1,101,34
136,R,P,Player 2,101,35
137,S,P,Player 1,102,35
138,P,R,Player 1,103,35
139,R,S,Player 1,104,35
140,R,P,Player 2,104,36
141,S,P,Player 1,105,36
142,P,R,Player 1,106,36
143,R,S,Player 1,107,36
144,R,P,Player 2,107,37
145,S,P,Player 1,108,37
146,P,R,Player 1,109,37
