Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
1,R,S,Player 1,1,0
2,S,P,Player 1,2,0
3,P,R,Player 1,3,0
4,P,R,Player 1,4,0
5,R,S,Player 1,5,0
6,S,P,Player 1,6,0
7,P,R,Player 1,7,0
8,P,S,Player 2,7,1
9,R,S,Player 1,8,1
10,S,S,Draw,8,1
11,S,S,Draw,8,1
12,S,R,Player 2,8,2
13,P,R,Player 1,9,2
14,R,R,Draw,9,2
15,R,R,Draw,9,2
16,R,R,Draw,9,2
17,R,P,Player 2,9,3
18,S,P,Player 1,10,3
19,P,P,Draw,10,3
20,S,P,Player 1,11,3
21,S,R,Player 2,11,4
22,R,R,Draw,11,4
23,R,R,Draw,11,4
24,R,P,Player 2,11,5
25,S,P,Player 1,12,5
26,P,P,Draw,12,5
27,S,P,Player 1,13,5
28,S,R,Player 2,13,6
29,R,R,Draw,13,6
30,R,R,Draw,13,6
31,R,P,Player 2,13,7
32,S,P,Player 1,14,7
33,P,P,Draw,14,7
34,S,P,Player 1,15,7
35,S,R,Player 2,15,8
36,R,R,Draw,15,8
37,R,R,Draw,15,8
38,R,P,Player 2,15,9
39,S,P,Player 1,16,9
40,P,P,Draw,16,9
41,S,P,Player 1,17,9
42,S,R,Player 2,17,10
43,R,R,Draw,17,10
44,R,R,Draw,17,10
45,S,P,Player 1,18,10
46,S,R,Player 2,18,11
47,S,R,Player 2,18,12
48,R,R,Draw,18,12
49,S,R,Player 2,18,13
50,S,R,Player 2,18,14
51,S,R,Player 2,18,15
52,S,R,Player 2,18,16
53,S,R,Player 2,18,17
54,S,R,Player 2,18,18
55,P,R,Player 1,19,18
56,P,R,Player 1,20,18
57,P,R,Player 1,21,18
58,P,R,Player 1,22,18
59,P,R,Player 1,23,18
60,P,R,Player 1,24,18
61,P,R,Player 1,25,18
62,P,R,Player 1,26,18
63,P,R,Player 1,27,18
64,P,R,Player 1,28,18
65,P,R,Player 1,29,18
66,P,R,Player 1,30,18
67,P,R,Player 1,31,18
68,P,R,Player 1,32,18
69,P,R,Player 1,33,18
70,P,R,Player 1,34,18
71,P,R,Player 1,35,18
72,P,R,Player 1,36,18
73,P,S,Player 2,36,19
74,S,S,Draw,36,19
75,S,S,Draw,36,19
76,S,R,Player 2,36,20
77,P,R,Player 1,37,20
78,R,R,Draw,37,20
79,P,R,Player 1,38,20
80,P,S,Player 2,38,21
81,S,S,Draw,38,21
82,S,S,Draw,38,21
83,S,R,Player 2,38,22
84,P,R,Player 1,39,22
85,R,R,Draw,39,22
86,P,R,Player 1,40,22
87,P,S,Player 2,40,23
88,S,S,Draw,40,23
89,S,S,Draw,40,23
90,S,R,Player 2,40,24
91,P,R,Player 1,41,24
92,P,R,Player 1,42,24
93,P,S,Player 2,42,25
94,S,S,Draw,42,25
95,S,S,Draw,42,25
96,S,R,Player 2,42,26
97,P,R,Player 1,43,26
98,P,R,Player 1,44,26
99,P,S,Player 2,44,27
100,S,S,Draw,44,27
101,S,S,Draw,44,27
102,S,R,Player 2,44,28
103,P,R,Player 1,45,28
104,P,R,Player 1,46,28
105,P,S,Player 2,46,29
106,S,S,Draw,46,29
107,S,S,Draw,46,29
108,S,R,Player 2,46,30
109,P,R,Player 1,47,30
110,P,R,Player 1,48,30
111,P,S,Player 2,48,31
112,S,S,Draw,48,31
113,S,S,Draw,48,31
114,S,R,Player 2,48,32
115,P,R,Player 1,49,32
116,P,R,Player 1,50,32
117,P,S,Player 2,50,33
118,S,S,Draw,50,33
119,S,S,Draw,50,33
120,S,R,Player 2,50,34
121,P,R,Player 1,51,34
122,P,R,Player 1,52,34
123,P,S,Player 2,52,35
124,S,S,Draw,52,35
125,S,S,Draw,52,35
126,S,R,Player 2,52,36
127,P,R,Player 1,53,36
128,P,R,Player 1,54,36
129,P,S,Player 2,54,37
130,S,S,Draw,54,37
131,S,S,Draw,54,37
132,S,R,Player 2,54,38
133,P,R,Player 1,55,38
134,P,R,Player 1,56,38
135,P,S,Player 2,56,39
136,S,S,Draw,56,39
137,S,S,Draw,56,39
138,P,R,Player 1,57,39
139,P,S,Player 2,57,40
140,R,S,Player 1,58,40
141,S,S,Draw,58,40
142,P,S,Player 2,58,41
143,P,S,Player 2,58,42
144,P,S,Player 2,58,43
145,P,S,Player 2,58,44
146,P,S,Player 2,58,45
147,P,S,Player 2,58,46
148,P,S,Player 2,58,47
149,P,S,Player 2,58,48
150,P,S,Player 2,58,49
151,P,S,Player 2,58,50
152,P,S,Player 2,58,51
153,R,S,Player 1,59,51
154,R,S,Player 1,60,51
155,R,S,Player 1,61,51
156,R,S,Player 1,62,51
157,R,S,Player 1,63,51
158,R,S,Player 1,64,51
159,R,S,Player 1,65,51
160,R,S,Player 1,66,51
161,R,S,Player 1,67,51
162,R,S,Player 1,68,51
163,R,S,Player 1,69,51
164,R,S,Player 1,70,51
165,R,S,Player 1,71,51
166,R,S,Player 1,72,51
167,R,S,Player 1,73,51
168,R,S,Player 1,74,51
169,R,S,Player 1,75,51
170,R,S,Player 1,76,51
171,R,S,Player 1,77,51
172,R,S,Player 1,78,51
173,R,S,Player 1,79,51
174,R,S,Player 1,80,51
175,R,S,Player 1,81,51
176,R,S,Player 1,82,51
177,R,S,Player 1,83,51
178,R,S,Player 1,84,51
179,R,S,Player 1,85,51
180,R,S,Player 1,86,51
181,R,S,Player 1,87,51
182,R,S,Player 1,88,51
183,R,S,Player 1,89,51
184,R,S,Player 1,90,51
185,R,S,Player 1,91,51
186,R,S,Player 1,92,51
187,R,S,Player 1,93,51
188,R,S,Player 1,94,51
189,R,S,Player 1,95,51
190,R,S,Player 1,96,51
191,R,S,Player 1,97,51
192,R,S,Player 1,98,51
193,R,S,Player 1,99,51
194,R,S,Player 1,100,51
195,R,S,Player 1,101,51
196,R,S,Player 1,102,51
197,R,S,Player 1,103,51
198,R,S,Player 1,104,51
199,R,S,Player 1,105,51
200,R,S,Player 1,106,51
201,R,S,Player 1,107,51
202,R,P,Player 2,107,52
203,P,P,Draw,107,52
204,P,P,Draw,107,52
205,S,S,Draw,107,52
206,P,S,Player 2,107,53
207,P,S,Player 2,107,54
208,R,S,Player 1,108,54
209,R,S,Player 1,109,54
210,R,S,Player 1,110,54
211,R,P,Player 2,110,55
212,P,P,Draw,110,55
213,P,P,Draw,110,55
214,S,S,Draw,110,55
215,P,S,Player 2,110,56
216,P,S,Player 2,110,57
217,R,S,Player 1,111,57
218,R,S,Player 1,112,57
219,R,S,Player 1,113,57
220,R,P,Player 2,113,58
221,P,P,Draw,113,58
222,P,P,Draw,113,58
223,S,S,Draw,113,58
224,P,S,Player 2,113,59
225,R,S,Player 1,114,59
226,R,S,Player 1,115,59
227,R,P,Player 2,115,60
228,P,P,Draw,115,60
229,P,P,Draw,115,60
230,S,S,Draw,115,60
231,P,S,Player 2,115,61
232,R,S,Player 1,116,61
233,R,S,Player 1,117,61
234,R,P,Player 2,117,62
235,P,P,Draw,117,62
236,P,P,Draw,117,62
237,S,S,Draw,117,62
238,P,S,Player 2,117,63
239,R,S,Player 1,118,63
240,R,S,Player 1,119,63
241,R,P,Player 2,119,64
242,P,P,Draw,119,64
243,P,P,Draw,119,64
244,S,S,Draw,119,64
245,P,S,Player 2,119,65
246,R,S,Player 1,120,65
247,R,S,Player 1,121,65
248,R,P,Player 2,121,66
249,P,P,Draw,121,66
250,P,P,Draw,121,66
251,S,S,Draw,121,66
252,R,S,Player 1,122,66
253,R,P,Player 2,122,67
254,P,P,Draw,122,67
255,P,P,Draw,122,67
256,S,S,Draw,122,67
257,R,S,Player 1,123,67
258,R,P,Player 2,123,68
259,P,P,Draw,123,68
260,P,P,Draw,123,68
261,S,S,Draw,123,68
262,R,S,Player 1,124,68
263,R,P,Player 2,124,69
264,P,P,Draw,124,69
265,P,P,Draw,124,69
266,S,S,Draw,124,69
267,R,S,Player 1,125,69
268,R,P,Player 2,125,70
269,P,P,Draw,125,70
270,P,P,Draw,125,70
271,S,S,Draw,125,70
272,R,S,Player 1,126,70
273,R,P,Player 2,126,71
274,P,P,Draw,126,71
275,P,P,Draw,126,71
276,S,S,Draw,126,71
277,R,S,Player 1,127,71
278,R,P,Player 2,127,72
279,P,P,Draw,127,72
280,P,P,Draw,127,72
281,S,S,Draw,127,72
282,R,S,Player 1,128,72
283,R,P,Player 2,128,73
284,P,P,Draw,128,73
285,P,P,Draw,128,73
286,S,S,Draw,128,73
287,R,S,Player 1,129,73
288,S,P,Player 1,130,73
289,P,P,Draw,130,73
290,P,S,Player 2,130,74
291,R,S,Player 1,131,74
292,S,S,Draw,131,74
293,R,S,Player 1,132,74
294,R,P,Player 2,132,75
295,P,P,Draw,132,75
296,P,P,Draw,132,75
297,S,S,Draw,132,75
298,R,S,Player 1,133,75
299,S,P,Player 1,134,75
300,P,P,Draw,134,75
301,P,S,Player 2,134,76
302,R,S,Player 1,135,76
303,S,S,Draw,135,76
304,R,S,Player 1,136,76
305,R,P,Player 2,136,77
