Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
1,S,P,Player 1,1,0
2,P,P,Draw,1,0
3,R,P,Player 2,1,1
4,R,P,Player 2,1,2
5,S,P,Player 1,2,2
6,S,P,Player 1,3,2
7,S,P,Player 1,4,2
8,S,P,Player 1,5,2
9,S,P,Player 1,6,2
10,S,P,Player 1,7,2
11,S,P,Player 1,8,2
12,S,P,Player 1,9,2
13,S,P,Player 1,10,2
14,S,P,Player 1,11,2
15,S,P,Player 1,12,2
16,S,P,Player 1,13,2
17,S,P,Player 1,14,2
18,S,P,Player 1,15,2
19,S,P,Player 1,16,2
20,S,P,Player 1,17,2
21,S,P,Player 1,18,2
22,S,P,Player 1,19,2
23,S,P,Player 1,20,2
24,S,P,Player 1,21,2
25,S,P,Player 1,22,2
26,S,P,Player 1,23,2
27,S,P,Player 1,24,2
28,S,P,Player 1,25,2
29,S,P,Player 1,26,2
30,S,P,Player 1,27,2
31,S,P,Player 1,28,2
32,S,P,Player 1,29,2
33,S,P,Player 1,30,2
34,S,P,Player 1,31,2
35,S,P,Player 1,32,2
36,S,P,Player 1,33,2
37,S,P,Player 1,34,2
38,S,P,Player 1,35,2
39,S,P,Player 1,36,2
40,S,P,Player 1,37,2
41,S,P,Player 1,38,2
42,S,P,Player 1,39,2
43,S,P,Player 1,40,2
44,S,P,Player 1,41,2
45,S,P,Player 1,42,2
46,S,P,Player 1,43,2
47,S,P,Player 1,44,2
48,S,P,Player 1,45,2
49,S,P,Player 1,46,2
50,S,P,Player 1,47,2
51,S,P,Player 1,48,2
52,S,P,Player 1,49,2
53,S,P,Player 1,50,2
54,S,P,Player 1,51,2
55,S,P,Player 1,52,2
56,S,P,Player 1,53,2
57,S,P,Player 1,54,2
58,S,P,Player 1,55,2
59,S,P,Player 1,56,2
60,S,P,Player 1,57,2
61,S,P,Player 1,58,2
62,S,P,Player 1,59,2
63,S,P,Player 1,60,2
64,S,P,Player 1,61,2
65,S,P,Player 1,62,2
66,S,P,Player 1,63,2
67,S,P,Player 1,64,2
68,S,P,Player 1,65,2
69,S,P,Player 1,66,2
70,S,P,Player 1,67,2
71,S,P,Player 1,68,2
72,S,P,Player 1,69,2
73,S,P,Player 1,70,2
74,S,P,Player 1,71,2
75,S,P,Player 1,72,2
76,S,P,Player 1,73,2
77,S,P,Player 1,74,2
78,S,P,Player 1,75,2
79,S,P,Player 1,76,2
80,S,P,Player 1,77,2
81,S,P,Player 1,78,2
82,S,P,Player 1,79,2
83,S,P,Player 1,80,2
84,S,P,Player 1,81,2
85,S,P,Player 1,82,2
86,S,P,Player 1,83,2
87,S,P,Player 1,84,2
88,S,P,Player 1,85,2
89,S,P,Player 1,86,2
90,S,P,Player 1,87,2
91,S,P,Player 1,88,2
92,S,P,Player 1,89,2
93,S,P,Player 1,90,2
94,S,P,Player 1,91,2
95,S,P,Player 1,92,2
96,S,P,Player 1,93,2
97,S,P,Player 1,94,2
98,S,P,Player 1,95,2
99,S,P,Player 1,96,2
100,S,P,Player 1,97,2
101,S,P,Player 1,98,2
102,S,P,Player 1,99,2
103,S,P,Player 1,100,2
104,S,P,Player 1,101,2
105,S,P,Player 1,102,2
106,S,P,Player 1,103,2
107,S,P,Player 1,104,2
108,S,P,Player 1,105,2
109,S,P,Player 1,106,2
110,S,P,Player 1,107,2
111,S,P,Player 1,108,2
112,S,P,Player 1,109,2
113,S,P,Player 1,110,2
114,S,P,Player 1,111,2
115,S,P,Player 1,112,2
116,S,P,Player 1,113,2
117,S,P,Player 1,114,2
118,S,P,Player 1,115,2
119,S,P,Player 1,116,2
120,S,P,Player 1,117,2
121,S,P,Player 1,118,2
122,S,P,Player 1,119,2
123,S,P,Player 1,120,2
124,S,P,Player 1,121,2
125,S,P,Player 1,122,2
126,S,P,Player 1,123,2
127,S,P,Player 1,124,2
128,S,P,Player 1,125,2
129,S,P,Player 1,126,2
130,S,P,Player 1,127,2
131,S,P,Player 1,128,2
132,S,P,Player 1,129,2
133,S,P,Player 1,130,2
134,S,P,Player 1,131,2
135,S,P,Player 1,132,2
136,S,P,Player 1,133,2
137,S,P,Player 1,134,2
138,S,P,Player 1,135,2
139,S,P,Player 1,136,2
140,S,P,Player 1,137,2
141,S,P,Player 1,138,2
142,S,P,Player 1,139,2
143,S,P,Player 1,140,2
144,S,P,Player 1,141,2
145,S,P,Player 1,142,2
146,S,P,Player 1,143,2
147,S,P,Player 1,144,2
148,S,P,Player 1,145,2
149,S,P,Player 1,146,2
150,S,P,Player 1,147,2
151,S,P,Player 1,148,2
152,S,P,Player 1,149,2
153,S,P,Player 1,150,2
154,S,P,Player 1,151,2
155,S,P,Player 1,152,2
156,S,P,Player 1,153,2
157,S,P,Player 1,154,2
158,S,P,Player 1,155,2
159,S,P,Player 1,156,2
160,S,P,Player 1,157,2
161,S,P,Player 1,158,2
162,S,P,Player 1,159,2
163,S,P,Player 1,160,2
164,S,P,Player 1,161,2
165,S,P,Player 1,162,2
166,S,P,Player 1,163,2
167,S,P,Player 1,164,2
168,S,P,Player 1,165,2
169,S,P,Player 1,166,2
170,S,P,Player 1,167,2
171,S,P,Player 1,168,2
172,S,P,Player 1,169,2
173,S,P,Player 1,170,2
174,S,P,Player 1,171,2
175,S,P,Player 1,172,2
176,S,P,Player 1,173,2
177,S,P,Player 1,174,2
178,S,P,Player 1,175,2
179,S,P,Player 1,176,2
180,S,P,Player 1,177,2
181,S,P,Player 1,178,2
182,S,P,Player 1,179,2
183,S,P,Player 1,180,2
184,S,P,Player 1,181,2
185,S,P,Player 1,182,2
186,S,P,Player 1,183,2
187,S,P,Player 1,184,2
188,S,P,Player 1,185,2
189,S,P,Player 1,186,2
190,S,P,Player 1,187,2
191,S,P,Player 1,188,2
192,S,P,Player 1,189,2
193,S,P,Player 1,190,2
194,S,P,Player 1,191,2
195,S,P,Player 1,192,2
196,S,P,Player 1,193,2
197,S,P,Player 1,194,2
198,S,P,Player 1,195,2
199,S,P,Player 1,196,2
200,S,P,Player 1,197,2
201,S,P,Player 1,198,2
202,S,P,Player 1,199,2
203,S,P,Player 1,200,2
204,S,P,Player 1,201,2
205,S,P,Player 1,202,2
206,S,P,Player 1,203,2
207,S,P,Player 1,204,2
208,S,P,Player 1,205,2
209,S,P,Player 1,206,2
210,S,P,Player 1,207,2
211,S,P,Player 1,208,2
212,S,P,Player 1,209,2
213,S,P,Player 1,210,2
214,S,P,Player 1,211,2
215,S,P,Player 1,212,2
216,S,P,Player 1,213,2
217,S,P,Player 1,214,2
218,S,P,Player 1,215,2
219,S,P,Player 1,216,2
220,S,P,Player 1,217,2
221,S,P,Player 1,218,2
222,S,P,Player 1,219,2
223,S,P,Player 1,220,2
224,S,P,Player 1,221,2
225,S,P,Player 1,222,2
226,S,P,Player 1,223,2
227,S,P,Player 1,224,2
228,S,P,Player 1,225,2
229,S,P,Player 1,226,2
230,S,P,Player 1,227,2
231,S,P,Player 1,228,2
232,S,P,Player 1,229,2
233,S,P,Player 1,230,2
234,S,P,Player 1,231,2
235,S,P,Player 1,232,2
236,S,P,Player 1,233,2
237,S,P,Player 1,234,2
238,S,P,Player 1,235,2
239,S,P,Player 1,236,2
240,S,P,Player 1,237,2
241,S,P,Player 1,238,2
242,S,P,Player 1,239,2
243,S,P,Player 1,240,2
244,S,P,Player 1,241,2
245,S,P,Player 1,242,2
246,S,P,Player 1,243,2
247,S,P,Player 1,244,2
248,S,P,Player 1,245,2
249,S,P,Player 1,246,2
250,S,P,Player 1,247,2
251,S,P,Player 1,248,2
252,S,P,Player 1,249,2
253,S,P,Player 1,250,2
254,S,P,Player 1,251,2
255,S,P,Player 1,252,2
256,S,P,Player 1,253,2
257,S,P,Player 1,254,2
258,S,P,Player 1,255,2
259,S,P,Player 1,256,2
260,S,P,Player 1,257,2
261,S,P,Player 1,258,2
262,S,P,Player 1,259,2
263,S,P,Player 1,260,2
264,S,P,Player 1,261,2
265,S,P,Player 1,262,2
266,S,P,Player 1,263,2
